SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
EU27.1.0.0.0.NET1,EU27,1,0,0,0,NET1,European Union,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16934.057,16623.316,16626.564,16480.841,16300.216,16108.68,15619.86,14091.96,13892.09,13193.02,13000.63,12629.86,12358.84,12086.92,11780.66,11587.82,11258.04,11171.09,10910.26,10796.02,10499.74,10057.16,10011.29,9840.82,9425.05,9278.61,9264.54,9160.87,8981.35,NA,NA,NA,,,,,,,
EU15.1.0.0.0.NET1,EU15,1,0,0,0,NET1,European Union (15 countries),"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8572.82,8151.61,7771.47,7490.744,7236.351,7084.659,6967.954,6800.114,6605.953,6495.375,6377.581,6256.577,6153.077,6030.121,5941.373,5835.937,5726.87,5636.95,5551.034,5537.51,5467.267,5416.354,5309.444,5369.649,5291.445,5283.684,5261.954,5236.385,5150.588,5029.283,5026.031,4972.572,NA,NA,NA,NA,,,,,,,
EA19.1.0.0.0.NET1,EA19,1,0,0,0,NET1,Euro area (19 countries),"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7321.73,7198.6,7073.86,6882.92,6697.71,6577.91,6465.45,6355.85,6227.95,6036.67,5903.9,5801.26,5627.66,5481.95,5374.19,5306.65,5232.21,5180.26,5106.12,5105,5070.47,5054.2,5000.15,4979.36,4886.01,4759.98,4783.09,4760.7,4676.53,NA,NA,NA,,,,,,,
EA20.1.0.0.0.NET1,EA20,1,0,0,0,NET1,Euro area,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7549.79,7426.66,7302.26,7110.68,6925.81,6811.06,6691.26,6584.45,6461.31,6265.85,6135.67,6032.22,5857.1,5709.13,5608.56,5547.85,5469.46,5372.35,5270.59,5254,5216.84,5175.1,5113.57,5083,4966.24,4843.76,4869.41,4838.84,4742.1,NA,NA,NA,,,,,,,
EA12.1.0.0.0.NET1,EA12,1,0,0,0,NET1,Euro area (12 countries),"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7796.57,7379.286,6969.767,6734.748,6486.78,6359.03,6245.36,6110.5,5965.68,5888.26,5809.95,5695.53,5595.88,5465.35,5373.52,5276.64,5175.58,5076.53,4976.48,4933.23,4859.48,4805.89,4734.39,4730.19,4688.65,4688.51,4643.37,4630,4548.12,4431.5,4463,4436.59,4356.3,NA,NA,NA,,,,,,,
DU15.1.0.0.0.NET1,DU15,1,0,0,0,NET1,EU15 (including D_W West-Germany),"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11902.217,11400.384,11217.524,10872.44,10577.399,10187.791,9897.816,9606.779,9193.696,8839.845,8428.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
DA12.1.0.0.0.NET1,DA12,1,0,0,0,NET1,EA12 (including D_W West-Germany),"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10918.467,10424.575,10258.5,9924.799,9642.223,9279.277,9017.662,8749.884,8370.158,8040.376,7652.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
BEL.1.0.0.0.NET1,BEL,1,0,0,0,NET1,Belgium,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.605,181.166,169.209,160.523,156.01,152.062,142.812,136.946,132.998,133.111,125.776,121.857,119.997,119.067,118.136,117.206,116.276,114.416,112.555,111.625,110.695,108.834,106.974,106.044,103.253,89.3,86.7,84.8,84.1,82.9,80.6,78.5,76.9,76.1,75.2,74.6,72.7,71.1,69.4,67.2,63.8,61.5,60.7,59.6,59.3,59.7,59.1,58.4,58.8,59.2,59.6,60.3,59.6,58.4,NA,NA,NA,,,,,,,
BGR.1.0.0.0.NET1,BGR,1,0,0,0,NET1,Bulgaria,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.68,813.83,817.64,844.29,797.7,780.36,768.32,765.02,758.98,753.26,742.25,732.66,723.86,736.58,736.74,710.48,689.53,648.72,656.18,666.48,649.03,624.98,664.91,624.41,560.05,570.22,532.61,521.84,517.02,NA,NA,NA,,,,,,,
CZE.1.0.0.0.NET1,CZE,1,0,0,0,NET1,Czechia,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.52,283.626,270,268.29,251.12,252.42,231.22,226.42,226.55,192.28,185.97,190.19,181.27,175.72,170.46,170.02,169.62,155.66,164.64,163.14,167.44,166.53,162.17,159.73,161.5,162.54,155.31,148.12,147.04,154.17,154.84,NA,NA,NA,,,,,,,
